trade_date,market,active_count,advancers,decliners,unchanged,advance_ratio,decline_ratio,turnover_amount,market_cap_total,top10_cap_share,cap_weighted_change_pct,median_change_pct,breadth_5d,weighted_return_20d,volatility_20d,turnover_ratio_20d,regime_score,regime,source,source_ref,schema_version,universe_count,return_observation_count,missing_return_count,equal_weight_change_pct,active_market_cap_total
1995-05-02,KOSPI,855,604,162,89,0.706433,0.189474,438378566100.0,136787185486660.0,0.327764,1.112894,1.85,0.706433,,,1.0,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,927,855,0,1.980327,134713479923960.0
1995-05-03,KOSPI,857,373,358,126,0.435239,0.417736,633948321300.0,138982764696170.0,0.334884,1.694841,0.0,0.570836,,,1.182379,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,928,857,0,0.09231,137255450392250.0
1995-05-04,KOSPI,860,251,483,126,0.29186,0.561628,519499331100.0,139197755166080.0,0.338623,0.196889,-0.69,0.477844,,,1.0,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,929,860,0,-0.472628,137395277384830.0
1995-05-06,KOSPI,842,297,411,134,0.352732,0.488124,317819228500.0,138638619292630.0,0.340589,-0.36148,0.0,0.446566,,,0.66359,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,929,842,0,-0.271354,137122266028070.0
1995-05-08,KOSPI,854,233,531,90,0.272834,0.62178,361304882600.0,137353745692670.0,0.338568,-0.8872,-0.905,0.41182,,,0.824185,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,930,854,0,-0.813571,136361070157380.0
1995-05-09,KOSPI,843,201,513,129,0.238434,0.608541,364657449200.0,136267574757100.0,0.339037,-0.771328,-0.76,0.31822,,,0.908197,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,930,843,0,-0.774709,134202664060880.0
1995-05-10,KOSPI,845,180,529,136,0.213018,0.626036,285046519200.0,134582616154350.0,0.337213,-1.237621,-0.95,0.273776,,,0.781683,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,931,845,0,-0.921669,133074065167650.0
1995-05-11,KOSPI,851,261,439,151,0.306698,0.515864,316046692400.0,133514344631880.0,0.334983,-0.749812,-0.33,0.276743,,,0.870697,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,931,851,0,-0.526851,131571439612260.0
1995-05-12,KOSPI,841,304,370,167,0.361474,0.439952,305093899800.0,133682604103440.0,0.335199,0.151637,0.0,0.278492,,,0.844422,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,932,841,0,-0.087004,132182543166060.0
1995-05-13,KOSPI,834,443,263,128,0.531175,0.315348,307711885600.0,134319554137330.0,0.330293,0.551476,0.545,0.33016,,,0.906202,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,932,834,0,1.079928,132370288902530.0
1995-05-15,KOSPI,848,309,391,148,0.364387,0.461085,350950450800.0,133697606439160.0,0.332489,-0.308527,0.0,0.35535,,,1.0,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,932,848,0,-0.151568,131883580528370.0
1995-05-16,KOSPI,841,178,515,148,0.211653,0.612366,284954782700.0,133427858454380.0,0.336027,-0.184326,-0.83,0.355077,,,0.852176,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,934,841,0,-0.892663,131217684766090.0
1995-05-17,KOSPI,838,254,439,145,0.303103,0.523866,316817820300.0,133675133780600.0,0.337607,0.103708,-0.34,0.354358,,,0.996849,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,936,838,0,-0.656229,131905483166490.0
1995-05-18,KOSPI,851,158,551,142,0.185664,0.647474,270795563800.0,132972674902300.0,0.339391,-0.617022,-1.07,0.319196,,,0.853387,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,937,851,0,-1.155805,131005721972020.0
1995-05-19,KOSPI,844,186,492,166,0.220379,0.582938,252834522900.0,132301318438810.0,0.34076,-0.485512,-0.69,0.257037,,,0.798044,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,937,844,0,-0.731742,130921228757110.0
1995-05-20,KOSPI,819,231,397,191,0.282051,0.484737,146977148200.0,132276801656060.0,0.342363,0.005019,0.0,0.24057,,,0.464482,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,937,819,0,-0.462589,129616578609710.0
1995-05-22,KOSPI,834,99,645,90,0.118705,0.773381,179966717800.0,130554820391140.0,0.344634,-1.310399,-1.885,0.22198,,,0.569431,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,938,834,0,-1.860444,128459842902000.0
1995-05-23,KOSPI,826,163,543,120,0.197337,0.657385,247197265900.0,129468848597260.0,0.34618,-0.809054,-1.3,0.200827,,,0.792606,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,938,826,0,-1.342627,127678790286520.0
1995-05-24,KOSPI,826,194,488,144,0.234867,0.590799,249356176900.0,128217356577930.0,0.345302,-0.932809,-0.93,0.210668,,,0.810356,0,WARMUP,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,938,826,0,-1.04253,125836647652120.0
1995-05-25,KOSPI,852,674,108,70,0.79108,0.126761,293781604900.0,130253119580190.0,0.338255,1.629582,3.595,0.324808,-3.229335,0.84328,0.958808,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,939,852,0,2.951749,128614855944670.0
1995-05-26,KOSPI,843,257,459,127,0.304864,0.544484,259135814400.0,128668093144810.0,0.337776,-1.256525,-0.6,0.329371,-5.497001,0.822244,0.865408,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,940,843,0,-0.428814,126991082127240.0
1995-05-27,KOSPI,809,273,393,143,0.337454,0.485785,143738849000.0,128106884397440.0,0.33734,-0.412151,0.0,0.37312,-7.454987,0.686357,0.496655,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,940,809,0,-0.139122,125721353712710.0
1995-05-29,KOSPI,878,847,6,25,0.964692,0.006834,447780522000.0,134233042535450.0,0.335022,4.793613,5.655,0.526591,-3.209307,1.31981,1.547197,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,941,878,0,5.020843,133400471338190.0
1995-05-30,KOSPI,862,446,312,104,0.517401,0.361949,439946012300.0,133359894858360.0,0.331839,-0.583264,0.445,0.583098,-3.424752,1.322432,1.520127,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,942,862,0,0.795882,131118420004070.0
1995-05-31,KOSPI,848,382,323,143,0.450472,0.380896,387974062700.0,133355305506890.0,0.331334,0.036295,0.0,0.514977,-2.524901,1.312513,1.34055,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,942,848,0,0.302252,131621338036150.0
1995-06-01,KOSPI,862,513,234,115,0.595128,0.271462,402453049300.0,134671624484040.0,0.331137,1.02494,0.9,0.573029,-0.760377,1.326213,1.390579,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,942,862,0,1.0858,133695129963170.0
1995-06-02,KOSPI,859,318,411,130,0.370198,0.478463,384328450200.0,135066234434900.0,0.332896,0.329233,0.0,0.579578,0.814049,1.298525,1.2835,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,942,859,0,-0.04248,133893521720070.0
1995-06-03,KOSPI,844,243,424,177,0.287915,0.50237,237716675500.0,134467495470640.0,0.333025,-0.423687,-0.125,0.444223,1.145312,1.290416,0.821502,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,942,844,0,-0.275592,132125702172800.0
1995-06-05,KOSPI,859,417,288,154,0.485448,0.335274,398584242300.0,135805846126280.0,0.336253,1.035738,0.0,0.437832,2.038185,1.307651,1.377429,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,942,859,0,0.502491,134429220851000.0
1995-06-07,KOSPI,853,275,439,139,0.322392,0.514654,384932222200.0,135869261532680.0,0.336822,0.065938,-0.28,0.412216,1.545468,1.303718,1.330251,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,942,853,0,-0.269883,134541360444410.0
1995-06-08,KOSPI,855,169,564,122,0.197661,0.659649,375703103000.0,134617119204520.0,0.337335,-0.927467,-1.14,0.332723,0.915018,1.319938,1.298357,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,944,855,0,-1.073673,133402081200830.0
1995-06-09,KOSPI,860,260,413,187,0.302326,0.480233,345662610300.0,133988895528740.0,0.335527,-0.428654,0.0,0.319148,0.667999,1.323215,1.132207,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,944,860,0,-0.270372,132493159432240.0
1995-06-10,KOSPI,841,322,315,204,0.382878,0.374554,214373355100.0,134003260940120.0,0.335076,-0.046087,0.0,0.338141,0.517359,1.323267,0.759412,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,945,841,0,0.138264,131581660023700.0
1995-06-12,KOSPI,853,282,425,146,0.330598,0.498242,270387197800.0,133709552812450.0,0.336923,-0.20626,0.0,0.307171,0.93281,1.316166,0.958533,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,946,853,0,-0.16306,131887963605430.0
